patient,drug,dose,plate,half,n_rows,frac_untestable
ACH-000120,CP21R7,5.0,3,0,62710,0.7733056928719503
ACH-000120,Cabozantinib (S-malate),0.05,10,0,62710,0.674501674374103
ACH-000120,Cabozantinib (S-malate),0.5,11,0,62710,0.6819008132674215
ACH-000120,Cabozantinib (S-malate),5.0,12,0,62710,0.627220538988997
ACH-000120,Canagliflozin,0.05,7,0,62710,0.7248126295646627
ACH-000120,Canagliflozin,0.5,8,0,62710,0.6500398660500718
ACH-000120,Canagliflozin,5.0,9,0,62710,0.7087067453356721
ACH-000120,Canagliflozin (hemihydrate),0.05,10,0,62710,0.6763195662573752
ACH-000120,Canagliflozin (hemihydrate),0.5,11,0,62710,0.6920267899856483
ACH-000120,Canagliflozin (hemihydrate),5.0,12,0,62710,0.6240790942433424
ACH-000120,Capivasertib,0.05,1,0,62710,0.6938606282889491
ACH-000120,Capivasertib,0.5,2,0,62710,0.6464040822835273
ACH-000120,Capivasertib,5.0,3,0,62710,0.7748046563546483
ACH-000120,Capmatinib,0.05,1,0,62710,0.6938606282889491
ACH-000120,Capmatinib,0.5,2,0,62710,0.649593366289268
ACH-000120,Capmatinib,5.0,3,0,62710,0.7847392760325307
ACH-000120,Captopril,0.05,10,0,62710,0.676813905278265
ACH-000120,Captopril,0.05,13,1,62710,0.6857120076542816
ACH-000120,Captopril,0.5,11,0,62710,0.674932227714878
ACH-000120,Captopril,5.0,12,0,62710,0.6397703715515867
ACH-000120,Carbamazepine,0.05,10,0,62710,0.6718705150693669
ACH-000120,Carbamazepine,0.5,11,0,62710,0.6814383670865891
ACH-000120,Carbamazepine,5.0,12,0,62710,0.6478552065061394
ACH-000120,Carbidopa (monohydrate),0.05,13,0,62710,0.6666241428799234
ACH-000120,Carbidopa (monohydrate),0.5,13,0,62710,0.6699250518258651
ACH-000120,Carbidopa (monohydrate),5.0,13,0,62710,0.6659225003986605
ACH-000120,Celecoxib,0.05,1,0,62710,0.6929197895072556
ACH-000120,Celecoxib,0.5,2,0,62710,0.66396109073513
ACH-000120,Celecoxib,5.0,3,0,62710,0.7657949290384308
ACH-000120,Cepharanthine,0.05,4,0,62710,0.6993780896188806
ACH-000120,Cepharanthine,0.5,5,0,62710,0.7054696220698453
ACH-000120,Cepharanthine,5.0,14,0,62710,0.7030936054855685
ACH-000120,Cepharanthine,5.0,6,1,62710,0.686923935576463
ACH-000120,Chlorhexidine (diacetate),0.05,4,0,62710,0.7017381597831287
ACH-000120,Chlorhexidine (diacetate),0.5,13,0,62710,0.658634986445543
ACH-000120,Chlorhexidine (diacetate),0.5,5,1,62710,0.6902407909424334
ACH-000120,Chlorhexidine (diacetate),5.0,14,0,62710,0.7007494817413491
ACH-000120,Chlorhexidine (diacetate),5.0,6,1,62710,0.663371073194068
ACH-000120,Ciclopirox,0.05,4,0,62710,0.7120236007016425
ACH-000120,Ciclopirox,0.5,5,0,62710,0.6950566097911018
ACH-000120,Ciclopirox,5.0,14,0,62710,0.7083240312549832
ACH-000120,Ciclopirox,5.0,6,1,62710,0.6789826184021687
ACH-000120,Cilostazol,0.05,7,0,62710,0.7017700526231861
ACH-000120,Cilostazol,0.5,8,0,62710,0.632706107478871
ACH-000120,Cilostazol,5.0,9,0,62710,0.6780736724605326
ACH-000120,Cinacalcet,0.05,10,0,62710,0.6750119598150215
ACH-000120,Cinacalcet,0.5,11,0,62710,0.6778185297400734
ACH-000120,Cinacalcet,5.0,12,0,62710,0.6245574868442034
ACH-000120,Citalopram (hydrobromide),0.05,10,0,62710,0.6540424174772763
ACH-000120,Citalopram (hydrobromide),0.5,11,0,62710,0.6792537075426567
ACH-000120,Citalopram (hydrobromide),5.0,12,0,62710,0.629963323233934
ACH-000120,Clobetasol propionate,0.05,10,0,62710,0.677786636900016
ACH-000120,Clobetasol propionate,0.5,11,0,62710,0.6853611864136502
ACH-000120,Clobetasol propionate,5.0,12,0,62710,0.6389730505501515
ACH-000120,Clofarabine,0.05,7,0,62710,0.7037314622867167
ACH-000120,Clofarabine,0.5,8,0,62710,0.6409344602136821
ACH-000120,Clofarabine,5.0,9,0,62710,0.7043693190878648
ACH-000120,Clonidine (hydrochloride),0.05,4,0,62710,0.6822835273481104
ACH-000120,Clonidine (hydrochloride),0.5,5,0,62710,0.6860468824748844
ACH-000120,Clonidine (hydrochloride),5.0,14,0,62710,0.6889969701801946
ACH-000120,Clonidine (hydrochloride),5.0,6,1,62710,0.6406155318131079
ACH-000120,Clopidogrel,0.05,10,0,62710,0.668856641683942
ACH-000120,Clopidogrel,0.5,11,0,62710,0.6778025833200446
ACH-000120,Clopidogrel,5.0,12,0,62710,0.6482857598469144
ACH-000120,Clotrimazole,0.05,4,0,62710,0.7004783926008611
ACH-000120,Clotrimazole,0.5,5,0,62710,0.6974007335353213
ACH-000120,Clotrimazole,5.0,14,0,62710,0.6948174134906714
ACH-000120,Clotrimazole,5.0,6,1,62710,0.675091691915165
ACH-000120,Cloxacillin (sodium),0.05,4,0,62710,0.6993621431988518
ACH-000120,Cloxacillin (sodium),0.5,5,0,62710,0.6865571679158029
ACH-000120,Cloxacillin (sodium),5.0,14,0,62710,0.6971296443948334
ACH-000120,Cloxacillin (sodium),5.0,6,1,62710,0.6607558603093605
ACH-000120,Cobimetinib,0.05,7,0,62710,0.7237601658427683
ACH-000120,Cobimetinib,0.5,8,0,62710,0.6586668792856004
ACH-000120,Cobimetinib,5.0,9,0,62710,0.7204911497368841
ACH-000120,Crizotinib (hydrochloride),0.05,10,0,62710,0.6699569446659225
ACH-000120,Crizotinib (hydrochloride),0.5,11,0,62710,0.6831924732897464
ACH-000120,Crizotinib (hydrochloride),5.0,12,0,62710,0.6287354488917238
ACH-000120,Cyclosporin A,0.05,10,0,62710,0.6649976080369957
ACH-000120,Cyclosporin A,0.5,11,0,62710,0.6807686174453835
ACH-000120,Cyclosporin A,5.0,12,0,62710,0.6448891723808005
ACH-000120,Cysteamine (hydrochloride),0.05,4,0,62710,0.7005102854409185
ACH-000120,Cysteamine (hydrochloride),0.5,5,0,62710,0.702742784244937
ACH-000120,Cysteamine (hydrochloride),5.0,14,0,62710,0.6940360389092649
ACH-000120,Cysteamine (hydrochloride),5.0,6,1,62710,0.6621431988518578
ACH-000120,Cytarabine,0.05,13,0,62710,0.6626056450326901
ACH-000120,Cytarabine,0.05,7,1,62710,0.6974804656354648
ACH-000120,Cytarabine,0.5,13,0,62710,0.6755700845160262
ACH-000120,Cytarabine,0.5,8,1,62710,0.6269335034284803
ACH-000120,Cytarabine,5.0,13,0,62710,0.6708658906075586
ACH-000120,Cytarabine,5.0,9,1,62710,0.7023919630043055
ACH-000120,Cytarabine (hydrochloride),0.05,7,0,62710,0.6982299473768139
ACH-000120,Cytarabine (hydrochloride),0.5,8,0,62710,0.6356561951841811
ACH-000120,Cytarabine (hydrochloride),5.0,9,0,62710,0.7016265348429278
ACH-000120,DT-061,0.05,1,0,62710,0.6968585552543454
ACH-000120,DT-061,0.5,2,0,62710,0.6474246531653643
ACH-000120,DT-061,5.0,3,0,62710,0.7840376335512678
ACH-000120,DTP3,0.05,13,0,62710,0.6448572795407431
ACH-000120,DTP3,0.5,2,0,62710,0.6519693828735449
ACH-000120,DTP3,5.0,3,0,62710,0.7756179237761123
ACH-000120,Dabrafenib,0.05,1,0,62710,0.6808961888056131
ACH-000120,Dabrafenib,0.5,2,0,62710,0.6563705948014671
ACH-000120,Dabrafenib,5.0,3,0,62710,0.6778185297400734
ACH-000120,Daidzin,0.05,13,0,62710,0.6701483017062669
ACH-000120,Daidzin,0.05,7,1,62710,0.6964280019135703
ACH-000120,Daidzin,0.5,13,0,62710,0.6808324031254983
ACH-000120,Daidzin,0.5,8,1,62710,0.6174453835114017
ACH-000120,Daidzin,5.0,13,0,62710,0.6947217349704992
ACH-000120,Daidzin,5.0,9,1,62710,0.6746930314144475
ACH-000120,Dapagliflozin,0.05,10,0,62710,0.6516345080529421
ACH-000120,Dapagliflozin,0.5,11,0,62710,0.651267740392282
